  # aggregation: #!165scams
  # source: https://opdadm.moi.gov.tw/api/v1/no-auth/resource/api/dataset/29E8E643-88ED-4952-B21E-BD42A3B7108C/resource/30001015-F0DA-40AE-945C-43EF73A4DDDF/download
  # homepage: https://data.gov.tw/dataset/176455
bbhhshf.cc #!165scams
web.criptonite.vip #!165scams
notionalweo.com #!165scams
mwjjywzk.ojxfd.com #!165scams
ywe1mgyzmjiw.ojxfd.com #!165scams
ndnky.hiergqow.com #!165scams
nzm2mdfiz.ojxfd.com #!165scams
glos-sof.com #!165scams
app.khtudry.com #!165scams
tw.dkhutpd.com #!165scams
obscuraxde.com #!165scams
flitmkscrm.com #!165scams
xtr-xpr.com #!165scams
yaojinglin.com #!165scams
xuyanglvshi.com #!165scams
edxtrade.vip #!165scams
tatung-ex.com #!165scams
coinmarkcapcww.com #!165scams
tokmall33.top #!165scams
mdexuiq.com #!165scams
mdexknq.com #!165scams
hkeyde.com #!165scams
onlineviptms.cc #!165scams
notionalkyk.com #!165scams
traxvnk.com #!165scams
dogecoinfrj.com #!165scams
warelyshop-link.store #!165scams
59reg.cc #!165scams
w1.bnhhshfs.cc #!165scams
2025edge.edgercw.com #!165scams
dkhurnd.com #!165scams
web.twgusri.vip #!165scams
0l26c.com #!165scams
1fb5p.com #!165scams
1xp55.com #!165scams
2dj3b.com #!165scams
3qi7r.com #!165scams
akashsystems-lot.com #!165scams
akashsystems-ros.com #!165scams
superfluidjhg.xyz #!165scams
4786aee86bde24758f555f6d42d1ab82.bullionve.shop #!165scams
flvjdgvcrm.com #!165scams
marketshop-top.shop #!165scams
klymona.com #!165scams
14x8.com #!165scams
usbankay.com #!165scams
hptukdts.com #!165scams
twxauxjpsxm.com #!165scams
xjtsiz.com #!165scams
panasonic-vip.ink #!165scams
kimi-ai.vip #!165scams
kimi-app.top #!165scams
kimi-bet.top #!165scams
applemusic.fbwltech.com #!165scams
ck-befong.lol #!165scams
tiktoksig-1330426662.pichk.myqcloud.com #!165scams
indogedik.com #!165scams
web.zixui.vip #!165scams
greenhydne.com #!165scams
cfdegolad.top #!165scams
cfdegolad.vip #!165scams
cgefd325.top #!165scams
cvfredgv.top #!165scams
cvfredgv.vip #!165scams
flaosdegg.top #!165scams
flaosdegg.vip #!165scams
flasdwffg.top #!165scams
flasdwffg.vip #!165scams
frdfgdd.top #!165scams
frdfgdd.vip #!165scams
gdejkrbv.top #!165scams
glaodf2d.top #!165scams
glaodf2d.vip #!165scams
gofgveff.top #!165scams
gofgveff.vip #!165scams
goladefse.top #!165scams
goladefse.vip #!165scams
goslfwffw.top #!165scams
goslfwffw.vip #!165scams
holasfwf.top #!165scams
holasfwf.vip #!165scams
tgoslw475.top #!165scams
lps-ser.com #!165scams
bitgepryt.com #!165scams
usdczhr.com #!165scams
usdcxss.com #!165scams
sgexolm.vip #!165scams
sgexfau.vip #!165scams
mdexplt.com #!165scams
usbankcr.com #!165scams
cartoonhk.com #!165scams
cmecemcrypto.com #!165scams
bullionv.com #!165scams
ck-bitnova.lol #!165scams
aegetlhe.com #!165scams
babyswapse.com #!165scams
babyswaphx.com #!165scams
fsiyrvbkscrm.com #!165scams
fliarkscrm.com #!165scams
akashsystems-try.com #!165scams
btccorg.vip #!165scams
twshop-smart.store #!165scams
zentraxt.com #!165scams
hookup-love.cc #!165scams
xweisxexi.com #!165scams
lgvnc.com #!165scams
meriluxemax.com #!165scams
azimutpadefr.com #!165scams
torninbank.xin #!165scams
savvashop-crate.store #!165scams
saxottder.top #!165scams
aegeteff.com #!165scams
coincapygv.com #!165scams
aegetgrh.com #!165scams
openivaimmm.com #!165scams
clyptaex.click #!165scams
aluntherovixia.com #!165scams
khdhutw.com #!165scams
jhierw.cc #!165scams
coinmarkcaphwe.com #!165scams
usbankat.com #!165scams
sgexkok.vip #!165scams
aliexpress-shop.cn #!165scams
baomambs.top #!165scams
benchimbs.top #!165scams
ddians.top #!165scams
meriluxe.com #!165scams
meriluxemaxi.top #!165scams
warelyshop-outlet.store #!165scams
0491a63695d245a424a1b2e2f7491849.word1018.shop #!165scams
twshop-marketify.store #!165scams
et.crztpg.shop #!165scams
cdjbac.com #!165scams
coinexawe.com #!165scams
ceffkend.com #!165scams
etc0-k.shsiu.com #!165scams
qncx116.cc #!165scams
greenhydoz.com #!165scams
ck-befong.top #!165scams
pkhutdtn.com #!165scams
skxbitpro.com #!165scams
osix-xs.com #!165scams
greenhydoe.com #!165scams
coins2.shop #!165scams
coins3.shop #!165scams
coins4.shop #!165scams
coins5.shop #!165scams
meriluxe.icu #!165scams
meriluxe.online #!165scams
traxiov.com #!165scams
twshop-realm.store #!165scams
mdexaxf.com #!165scams
mdexmcb.com #!165scams
mdexloo.com #!165scams
